Genesis,50,Kejadian
Exodus,40,Keluaran
Leviticus,27,Imamat
Numbers,36,Bilangan
Deuteronomy,34,Ulangan
Joshua,24,Yosua
Judges,21,Hakim-hakim
Ruth,4,Rut
1 Samuel,31,1 Samuel
2 Samuel,24,2 Samuel
1 Kings,22,1 Raja-raja
2 Kings,25,2 Raja-raja
1 Chronicles,29,1 Tawarikh
2 Chronicles,36,2 Tawarikh
Ezra,10,Ezra
Nehemiah,13,Nehemia
Esther,10,Ester
Job,42,Ayub
Psalms,150,Mazmur
Proverbs,31,Amsal
Ecclesiastes,12,Pengkhotbah
Song of Songs,8,Kidung Agung
Isaiah,66,Yesaya
Jeremiah,52,Yeremia
Lamentations,5,Ratapan
Ezekiel,48,Yehezkiel
Daniel,12,Daniel
Hosea,14,Hosea
Joel,3,Yoel
Amos,9,Amos
Obadiah,1,Obaja
Jonah,4,Yunus
Micah,7,Mikha
Nahum,3,Nahum
Habakkuk,3,Habakuk
Zephaniah,3,Zefanya
Haggai,2,Hagai
Zechariah,14,Zakharia
Malachi,4,Maleakhi
Matthew,28,Matius
Mark,16,Markus
Luke,24,Lukas
John,21,Yohanes
Acts,28,Kisah Para Rasul
Romans,16,Roma
1 Corinthians,16,1 Korintus
2 Corinthians,13,2 Korintus
Galatians,6,Galatia
Ephesians,6,Efesus
Philippians,4,Filipi
Colossians,4,Kolose
1 Thessalonians,5,1 Tesalonika
2 Thessalonians,3,2 Tesalonika
1 Timothy,6,1 Timotius
2 Timothy,4,2 Timotius
Titus,3,Titus
Philemon,1,Filemon
Hebrews,13,Ibrani
James,5,Yakobus
1 Peter,5,1 Petrus
2 Peter,3,2 Petrus
1 John,5,1 Yohanes
2 John,1,2 Yohanes
3 John,1,3 Yohanes
Jude,1,Yudas
Revelation,22,Wahyu